smiles,finger_prints
CC1CCC2OC1C2O,[0 0 0 ... 0 0 0]
NC(=N)C(N)(C#C)C#N,[0 0 0 ... 0 0 0]
COC(=O)c1cc[nH]c1,[0 0 0 ... 0 0 0]
CCOc1cnc(o1)O,[0 0 0 ... 0 0 0]
OC1C2CC(C#C)C1O2,[0 0 0 ... 0 0 0]
OC1C2CN2C11CCC1,[0 0 0 ... 0 0 0]
CC12CC1C(C2)C(N)=O,[0 0 0 ... 0 0 0]
OC1CC1C1=CN=CO1,[0 0 0 ... 0 0 0]
CC1OC2CC2(O)C=C1,[0 0 0 ... 0 0 0]
C(CCO)CC=O,[0 0 0 ... 0 0 0]
C(=O)C#CC(=O)N,[0 0 0 ... 0 0 0]
CC12CCC1=CCC2=O,[0 0 0 ... 0 0 0]
O=C1NCCNC1C#C,[1 0 0 ... 0 0 0]
N#CC12CC1C1CC2O1,[0 0 0 ... 0 0 0]
OC12CC1NC(C2)C#N,[0 0 0 ... 0 0 0]
O=CC1CN=C(N1)C=O,[0 0 0 ... 0 0 0]
O=CC12CN1CC=C2,[0 0 0 ... 0 0 0]
N#CC12CC3NC3C1N2,[0 0 0 ... 0 0 0]
C1OC11CC2CC1CO2,[0 0 0 ... 0 0 0]
CN1C2CC3C4C1C2N34,[0 1 0 ... 0 0 0]
C#Cc1cc(n[nH]1)O,[0 0 0 ... 0 0 0]
Cc1ccc(nc1O)N,[0 0 0 ... 0 0 0]
O=C1CC2CC2O1,[0 0 0 ... 0 0 0]
CC1C2OC2C2OC12,[0 0 0 ... 0 0 0]
C(CCOC=O)CC=O,[0 0 0 ... 0 0 0]
CC12CC1(OC2)C=O,[0 0 0 ... 0 0 0]
Cc1c(nno1)OC,[0 0 0 ... 0 0 0]
CC12NC1C1C(O)CC21,[0 0 0 ... 0 0 0]
C1NC11CC2=CCOC12,[0 0 0 ... 0 0 0]
CC1OC2CC12C1CC1,[0 0 0 ... 0 0 0]
CC(C)C12CC(C1)C=C2,[0 1 0 ... 0 0 0]
CN1CC(O)C1C1CO1,[0 0 0 ... 0 0 0]
OC12CC(=O)C1C2C#N,[0 0 0 ... 0 0 0]
O=C1NC2CN3CC2C13,[0 0 0 ... 0 0 0]
CC(=O)C1CC1(C)C,[0 0 0 ... 0 0 0]
OC1C2NC1C21COC1,[0 0 0 ... 0 0 0]
CCC1=CCC(C)C1,[0 0 0 ... 0 0 0]
c1ccc(cc1)C(=O)N,[0 0 0 ... 0 0 0]
O=C1CC2C3CN(C1)C23,[0 0 0 ... 0 0 0]
CC1=CC(O)CC1(C)C,[0 0 0 ... 0 0 0]
OC12CC(C1)C1CC2O1,[0 0 0 ... 0 0 0]
CC12CCC=C1C1OC21,[0 0 0 ... 0 0 0]
CC1CN2C=NC(O)=C12,[0 0 0 ... 0 0 0]
C1=C(NC(=O)C1=O)C=O,[0 0 0 ... 0 0 0]
CC(CC(N)=[NH2+])C([O-])=O,[0 1 0 ... 0 0 0]
CC1(O)CC(C=O)C=C1,[0 0 0 ... 0 0 0]
CC12CC3OCC(O1)C23,[0 0 0 ... 0 0 0]
N#CCC12OC3C1CC23,[0 0 0 ... 0 0 0]
CC1C2N(C)C(=O)C12O,[0 0 0 ... 0 0 0]
CC#CC12CC1CC2=O,[0 0 0 ... 0 0 0]
C1OC2CCC3OC3C12,[0 0 0 ... 0 0 0]
OC1C2COCOCC12,[0 0 0 ... 0 0 0]
CC1=CC2CC(C)(C1)O2,[0 0 0 ... 0 0 0]
C1CN(C1)CC(=O)C#N,[0 0 0 ... 0 0 0]
C#CCCC(=O)N1CC1,[0 0 0 ... 0 0 0]
OC1CC2CC3(CN3)C12,[0 0 0 ... 0 0 0]
CC1CC(C)(C)CC1C,[0 0 0 ... 0 0 0]
CC1(C)NC1C1(C)CO1,[0 0 0 ... 0 0 0]
CNC(=O)CC1CC1,[0 0 0 ... 0 0 0]
CC#CC1CCC11CC1,[0 0 0 ... 0 0 0]
CC(O)C1OC1C(C)=O,[0 1 0 ... 0 0 0]
O=CC1C2NC3C2OC13,[0 0 0 ... 0 0 0]
CC#CC1CC(O)C=C1,[0 0 0 ... 0 0 0]
OC1COC(=N)C1=O,[0 0 0 ... 0 0 0]
CC1=CC2C3CC=C1C23,[0 0 0 ... 0 0 0]
CC(C)(C(=NO)C#C)O,[0 0 0 ... 0 0 0]
OC(CC#C)C#N,[0 1 0 ... 0 0 0]
N=C1OCCC=C1C#C,[0 0 0 ... 0 0 0]
C1C2OC3COC(C3)C12,[0 0 0 ... 0 0 0]
CCOc1cc(co1)C,[0 0 0 ... 0 0 0]
CC1CN(C)C(=O)N1,[0 0 0 ... 0 0 0]
CC#CC(C)C#CC#C,[0 1 0 ... 0 0 0]
CCCC1(CO1)C#N,[0 0 0 ... 0 0 0]
CC12CC3C(CC13)O2,[0 0 0 ... 0 0 0]
N=C1C=CCCN1C=O,[0 0 0 ... 0 0 0]
C1CC2C3CCC2C1O3,[0 0 0 ... 0 0 0]
